2024-06-10 09:26:37,396 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-10 09:26:37,397 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-10 09:26:41,947 - -----Starting Log-----
2024-06-10 09:26:42,995 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 53.2%, Memory Usage: 21.7%, GPU Usage: 8.0%
2024-06-10 09:26:45,022 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 4.7%, Memory Usage: 22.3%, GPU Usage: 89.0%
2024-06-10 09:26:47,050 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 22.3%, GPU Usage: 88.0%
2024-06-10 09:26:49,078 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.3%, GPU Usage: 89.0%
2024-06-10 09:26:51,106 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 22.2%, GPU Usage: 90.0%
2024-06-10 09:26:53,134 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 22.3%, GPU Usage: 89.0%
2024-06-10 09:26:55,163 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:26:57,194 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:26:59,223 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:01,250 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.6%, Memory Usage: 22.0%, GPU Usage: 92.0%
2024-06-10 09:27:03,281 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:05,310 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:07,339 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:27:09,366 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:11,397 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:13,427 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:27:15,457 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 21.9%, GPU Usage: 91.0%
2024-06-10 09:27:17,487 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.9%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:19,514 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.9%, GPU Usage: 91.0%
2024-06-10 09:27:21,543 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.9%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:23,571 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.7%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:25,602 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:27,629 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 21.9%, GPU Usage: 55.00000000000001%
2024-06-10 09:27:29,658 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:31,688 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:33,715 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:35,746 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:27:37,774 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.9%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:27:39,802 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:41,830 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:27:43,859 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:27:45,886 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:47,913 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:27:49,943 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:27:51,971 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:27:53,994 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:56,022 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:27:58,050 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:00,078 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:02,105 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.8%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:28:04,134 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:06,162 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:28:08,191 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:10,218 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:12,241 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:28:14,271 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 21.8%, GPU Usage: 55.00000000000001%
2024-06-10 09:28:16,303 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:18,333 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:28:20,363 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.8%, GPU Usage: 91.0%
2024-06-10 09:28:22,393 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 21.8%, GPU Usage: 89.0%
2024-06-10 09:28:24,422 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.4%, Memory Usage: 21.8%, GPU Usage: 89.0%
2024-06-10 09:28:26,451 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:28,479 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 21.9%, GPU Usage: 88.0%
2024-06-10 09:28:30,510 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:32,538 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 88.0%
2024-06-10 09:28:34,566 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:36,594 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:38,622 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:28:40,650 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:42,678 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 4.1%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:44,707 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.8%, GPU Usage: 90.0%
2024-06-10 09:28:46,735 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 4.6%, Memory Usage: 21.8%, GPU Usage: 91.0%
2024-06-10 09:28:48,762 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.7%, Memory Usage: 21.8%, GPU Usage: 92.0%
2024-06-10 09:28:50,791 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 5.8%, Memory Usage: 21.8%, GPU Usage: 89.0%
2024-06-10 09:28:52,818 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:28:54,847 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.7%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:28:56,874 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 4.7%, Memory Usage: 21.9%, GPU Usage: 88.0%
2024-06-10 09:28:58,903 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:00,931 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.9%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:02,962 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:29:04,991 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:07,019 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:09,045 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 89.0%
2024-06-10 09:29:11,074 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:13,101 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:29:15,131 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:17,158 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.1%, GPU Usage: 89.0%
2024-06-10 09:29:19,185 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.0%, GPU Usage: 89.0%
2024-06-10 09:29:21,214 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:29:23,242 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 22.1%, GPU Usage: 55.00000000000001%
2024-06-10 09:29:25,270 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:29:27,300 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 22.1%, GPU Usage: 90.0%
2024-06-10 09:29:29,331 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 22.1%, GPU Usage: 91.0%
2024-06-10 09:29:31,359 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 22.2%, GPU Usage: 91.0%
2024-06-10 09:29:33,386 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 22.2%, GPU Usage: 90.0%
2024-06-10 09:29:35,413 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 22.2%, GPU Usage: 90.0%
2024-06-10 09:29:37,441 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.9%, Memory Usage: 22.0%, GPU Usage: 88.0%
2024-06-10 09:29:39,469 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 22.0%, GPU Usage: 90.0%
2024-06-10 09:29:41,498 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 22.0%, GPU Usage: 91.0%
2024-06-10 09:29:43,529 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:29:45,559 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.9%, GPU Usage: 90.0%
2024-06-10 09:29:47,587 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 21.8%, GPU Usage: 89.0%
2024-06-10 09:29:49,615 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 21.7%, GPU Usage: 90.0%
