2024-06-11 09:32:06,034 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-11 09:32:06,035 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-11 09:32:10,774 - -----Starting Log-----
2024-06-11 09:32:11,805 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 50.3%, Memory Usage: 19.3%, GPU Usage: 0.0%
2024-06-11 09:32:13,836 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 5.7%, Memory Usage: 19.9%, GPU Usage: 65.0%
2024-06-11 09:32:15,863 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 89.0%
2024-06-11 09:32:17,897 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:32:19,924 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:32:21,954 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.8%, GPU Usage: 90.0%
2024-06-11 09:32:23,984 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:32:26,016 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:32:28,046 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:32:30,077 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.7%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:32:32,108 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:32:34,139 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:32:36,168 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:32:38,198 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.5%, GPU Usage: 90.0%
2024-06-11 09:32:40,228 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.5%, GPU Usage: 90.0%
2024-06-11 09:32:42,256 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.4%, GPU Usage: 90.0%
2024-06-11 09:32:44,287 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.5%, GPU Usage: 90.0%
2024-06-11 09:32:46,317 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.4%, GPU Usage: 89.0%
