2024-06-13 00:26:32,195 - -----Starting Log-----
2024-06-13 00:26:33,225 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 50.5%, Memory Usage: 24.4%, GPU Usage: 0.0%
2024-06-13 00:26:35,254 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.8%, Memory Usage: 25.0%, GPU Usage: 88.0%
2024-06-13 00:26:37,281 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 25.0%, GPU Usage: 89.0%
2024-06-13 00:26:39,311 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 25.0%, GPU Usage: 89.0%
2024-06-13 00:26:41,342 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 5.2%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:26:43,369 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.0%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:26:45,397 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:26:47,425 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.6%, GPU Usage: 90.0%
2024-06-13 00:26:49,452 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.6%, GPU Usage: 89.0%
2024-06-13 00:26:51,481 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:26:53,509 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.0%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:26:55,536 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.4%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:26:57,565 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.9%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:26:59,593 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:27:01,621 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:27:03,650 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:27:05,678 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 1.8%, Memory Usage: 24.6%, GPU Usage: 90.0%
